exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
GLUTE-001,Abducteur machine,hip_abduction,frontal,isolation,false,gluteus_medius,0.85,gluteus_minimus,0.15,hip,2,1,1,2,2,machine_stability
GLUTE-002,Barbell-curtsy-lunge,unilateral_lunge,frontal,compound,true,gluteus_maximus,0.6,gluteus_medius|quadriceps,0.25|0.15,core,5,3,2,6,6,unilateral_instability
GLUTE-003,Bear-plank-avec-kickback,core_glute_stability,sagittal,compound,true,gluteus_maximus,0.6,core|hamstrings,0.3|0.1,core,4,1,2,7,7,anti_extension
GLUTE-004,Bird-dog,core_stability,sagittal,isometric,true,gluteus_maximus,0.4,core|spine_erectors,0.4|0.2,core,2,1,1,6,6,coordination_core
GLUTE-005,Bonne-mauvaise-position-bassin-squat,squat_mechanics,sagittal,educational,false,gluteus_maximus,0.3,core|quadriceps,0.4|0.3,core,2,3,2,2,3,motor_control
GLUTE-006,Bonne-mauvaise-position-genoux-squat,squat_mechanics,sagittal,educational,false,quadriceps,0.4,gluteus_maximus|core,0.3|0.3,core,2,3,2,2,3,motor_control
GLUTE-007,Box-pistol-squat,unilateral_squat,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.3|0.1,core,6,4,2,8,8,high_unilateral_load
GLUTE-008,Cossack-squat,unilateral_squat,frontal,compound,true,adductors,0.4,gluteus_maximus|quadriceps,0.3|0.3,core,5,4,2,8,8,deep_lateral_load
GLUTE-009,Deadlift-vue-avant,hip_hinge,sagittal,compound,false,gluteus_maximus,0.6,hamstrings|spine_erectors,0.3|0.1,core,8,4,3,5,5,hinge_load
GLUTE-010,Deadlift-vue-de-dos,hip_hinge,sagittal,compound,false,gluteus_maximus,0.6,hamstrings|spine_erectors,0.3|0.1,core,8,4,3,5,5,hinge_load
GLUTE-011,Donkey-kick,hip_extension,sagittal,isolation,true,gluteus_maximus,0.85,hamstrings,0.15,core,2,1,1,4,4,bodyweight_isolation
GLUTE-012,Exercice-squat-vue-profil,squat,sagittal,compound,false,quadriceps,0.5,gluteus_maximus|hamstrings,0.3|0.2,core,6,4,2,5,5,squat_pattern
GLUTE-013,Extension-de-jambe-unilateral-machine-dips-assistes,leg_extension,sagittal,isolation,true,quadriceps,0.85,hip_flexors,0.15,knee,2,3,1,2,2,machine_stability
GLUTE-014,Extension-hanche-machine,hip_extension,sagittal,isolation,false,gluteus_maximus,0.85,hamstrings,0.15,core,3,1,1,2,2,machine_stability
GLUTE-015,Extension-hanche-poulie-basse,hip_extension,sagittal,isolation,true,gluteus_maximus,0.85,hamstrings,0.15,core,3,1,1,4,4,cable_control
GLUTE-016,Extension-lombaire-au-banc-45,spine_extension,sagittal,compound,false,spine_erectors,0.6,gluteus_maximus|hamstrings,0.25|0.15,core,6,2,1,4,4,hinge_load
GLUTE-017,Extension-lombaire-avec-elastique,spine_extension,sagittal,compound,false,spine_erectors,0.55,gluteus_maximus|hamstrings,0.3|0.15,core,4,2,1,5,5,elastic_resistance
GLUTE-018,Fente-avant-barre-femme,unilateral_lunge,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.25|0.15,core,6,4,2,6,6,barbell_load
GLUTE-019,Fente-avant-barre-vue-profil-homme,unilateral_lunge,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.25|0.15,core,6,4,2,6,6,barbell_load
GLUTE-020,Fentes-avant-exercice-musculation,unilateral_lunge,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.25|0.15,core,5,4,2,5,5,bodyweight_dumbbell
GLUTE-021,Fentes-avant-kettlebell,unilateral_lunge,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.25|0.15,core,5,4,2,6,6,offset_load
GLUTE-022,Fentes-croisees,unilateral_lunge,frontal,compound,true,gluteus_maximus,0.6,gluteus_medius|quadriceps,0.25|0.15,core,5,4,2,7,7,rotation_control
GLUTE-023,Fentes-marchees-avec-sandbag,unilateral_lunge,sagittal,compound,true,gluteus_maximus,0.6,quadriceps|hamstrings,0.25|0.15,core,6,4,2,7,7,loaded_carry
GLUTE-024,Fire-hydrant,hip_abduction,frontal,isolation,true,gluteus_medius,0.85,gluteus_maximus,0.15,core,2,1,1,5,5,bodyweight_isolation
GLUTE-025,Front-squat-avec-halteres,squat,sagittal,compound,false,quadriceps,0.6,gluteus_maximus|core,0.25|0.15,core,6,4,2,4,4,front_load
GLUTE-026,Glute-ham-developer-ghd,hip_hinge,sagittal,compound,false,hamstrings,0.6,gluteus_maximus|spine_erectors,0.3|0.1,core,7,3,1,5,5,posterior_chain
GLUTE-027,Good-morning-elastique,hip_hinge,sagittal,compound,false,gluteus_maximus,0.6,hamstrings|spine_erectors,0.3|0.1,core,6,3,2,5,5,elastic_hinge
GLUTE-028,Good-morning-exercice,hip_hinge,sagittal,compound,false,gluteus_maximus,0.6,hamstrings|spine_erectors,0.3|0.1,core,7,4,3,5,5,hinge_load
GLUTE-029,Hack-squat,squat,sagittal,compound,false,quadriceps,0.6,gluteus_maximus|hamstrings,0.25|0.15,core,6,5,2,3,3,machine_guided
GLUTE-030,Hack-squat-assis,squat,sagittal,compound,false,quadriceps,0.65,gluteus_maximus|hamstrings,0.2|0.15,core,5,5,2,2,2,machine_stability
GLUTE-031,Hack-squat-flexion-complete,squat,sagittal,compound,false,quadriceps,0.6,gluteus_maximus|hamstrings,0.3|0.1,core,6,6,2,3,3,deep_range
GLUTE-032,Hack-squat-inverse,hinge_squat_hybrid,sagittal,compound,false,gluteus_maximus,0.6,hamstrings|quadriceps,0.25|0.15,core,7,4,2,4,4,posterior_bias
GLUTE-033,Hip-thrust-a-la-machine,hip_extension,sagittal,isolation,false,gluteus_maximus,0.85,hamstrings,0.15,core,3,2,1,2,2,machine_stability
