Table de Vérité MorphoPro : Diagnostics et Programmation
;;;;;;
Diagnostic;Observation Visuelle;Impact Biomécanique;Règle de Sélection d'Exercice;Variable d'Ajustement;;
1. Fémurs Longs (Ratio $L/T > 26\%$);Grande distance Grand Trochanter / Interligne articulaire du genou.;Augmentation du bras de levier perpendiculaire ($d_\perp$) entre la charge et l'axe de la hanche. Stress de cisaillement accru sur $L4-L5$.;Interdire : Squat barre haute en amplitude complète. Favoriser : Variantes à pivot de genou dominant (Hack Squat).;Augmentation de la flexion plantaire (cales de 3cm+) pour avancer le genou et réduire $d_\perp$ hanche.;;
2. Antéversion Pelvienne (Structurelle);Inclinaison du plateau sacré vers l'avant ($> 15^\circ$). SIPS plus hautes que les SIAS.;Allongement chronique des ischios-jambiers (position de faiblesse). Compression des facettes articulaires lombaires.;Interdire : Good Morning, RDL en amplitude maximale. Favoriser : Glute Bridge, Split Squat (bassin neutre).;"Limiter l'extension de hanche à la neutralité. Ne jamais chercher le ""stretch"" maximal sur la chaîne postérieure.";;
3. Mobilité Cheville (Dorsiflexion $< 15^\circ$);Arrêt précoce de la translation tibiale antérieure. Décollage du talon.;Transfert immédiat de la charge vers la charnière thoraco-lombaire pour maintenir le centre de masse (CoM).;Interdire : Tout squat libre sans assistance. Favoriser : Leg Press (pieds bas sur le plateau), Squat assis.;Utilisation de chaussures à drop élevé ($> 22mm$) ou inclinaison de plateforme à $20^\circ$.;;
4. ISA Large (Angle Infra-Sternal $> 110^\circ$);"Cage thoracique large, thorax ""plat"". Côtes inférieures évasées.";Tendance à l'extension thoracique. Diaphragme en position d'inspiration. Rotation interne de hanche/épaule limitée.;Interdire : Overhead Press (OHP) barre libre. Favoriser : Tirage horizontal, Développé incliné haltères.;Favoriser l'expiration complète en fin de concentrique pour engager les obliques et stabiliser le thorax.;;
5. ISA Étroit (Angle Infra-Sternal $< 90^\circ$);Cage thoracique étroite et profonde. Sternum projeté vers l'avant.;Tendance à la flexion (cyphose). Besoin d'expansion postérieure. Rotation externe limitée.;Interdire : Bench Press avec arche de powerlifter. Favoriser : Squats avec barre de sécurité (SSB), Tirage unilatéral.;Utiliser des prises plus larges pour favoriser l'expansion costale latérale durant l'inspiration.;;
6. Humérus Longs (vs Tronc);Coudes tombant sous la crête iliaque en position neutre.;Augmentation du moment de force sur l'épaule en position étirée (Bottom de press). Risque de bascule antérieure de la scapula.;Interdire : Dips profonds, DB Flyes. Favoriser : Floor Press, Board Press, Chest Press convergente.;Limiter l'amplitude excentrique à $10^\circ$ avant le plan frontal du tronc.;;
7. Avant-bras Longs (Ratio Radius/Humérus élevé);Mains très basses sur les cuisses.;Levier défavorable pour les fléchisseurs du coude. Couple de torsion élevé au niveau de l'insertion distale du biceps.;Interdire : Preacher Curl (banc Larry Scott). Favoriser : Hammer Curls, Curls à la poulie derrière le corps.;Privilégier les prises neutres pour recruter le brachio-radial et protéger l'articulation du coude.;;
8. Clavicules Larges;Distance acromiale importante par rapport à la largeur de hanche.;Bras de levier interne optimal pour les deltoïdes. Grande capacité de charge en abduction.;Interdire : Tirage menton prise serrée. Favoriser : Élévations latérales, Développé prise large.;Augmenter le volume de travail sur le deltoïde latéral (capacité de récupération structurelle élevée).;;
9. Insertions Latissimus Dorsi Basses;Muscle s'insérant près de la crête iliaque.;Capacité à générer du couple en position de raccourcissement extrême (bras au corps).;Interdire : Pull-over avec focus uniquement étirement. Favoriser : Rowings unilatéraux, Tirage bras tendus (poulie).;Focus sur la contraction maximale (crête iliaque vers l'humérus) avec une légère inclinaison latérale.;;
10. Insertions Biceps Hautes;Espace $> 3cm$ entre le tendon et le ventre musculaire au coude.;Ventre musculaire court. Capacité de tension maximale uniquement en milieu d'amplitude. Risque de rupture au stretch.;Interdire : Inclined DB Curls (étirement lourd). Favoriser : Spider Curls, High Cable Curls.;"Prioriser la ""peak contraction"" plutôt que l'étirement sous charge.";;
