exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
CHEST-001,Developpe-couche,horizontal_push,sagittal,compound,false,pectoralis_major,0.65,triceps|anterior_deltoid,0.2|0.15,core,4,1,5,3,3,barbell_load
CHEST-002,Developpe-couche-halteres-exercice-musculation,horizontal_push,sagittal,compound,false,pectoralis_major,0.65,triceps|anterior_deltoid,0.2|0.15,core,4,1,6,5,5,free_weight_control
CHEST-003,Developpe-couche-prise-inversee,horizontal_push,sagittal,compound,false,pectoralis_major,0.6,anterior_deltoid|triceps,0.25|0.15,core,4,1,6,4,4,reverse_grip
CHEST-004,Developpe-couche-smith-machine,horizontal_push,sagittal,compound,false,pectoralis_major,0.7,triceps|anterior_deltoid,0.2|0.1,core,3,1,4,2,2,machine_stability
CHEST-005,Developpe-decline-barre,horizontal_push,sagittal,compound,false,pectoralis_major_lower,0.7,triceps|anterior_deltoid,0.2|0.1,core,4,1,5,3,3,decline_load
CHEST-006,Developpe-decline-halteres,horizontal_push,sagittal,compound,false,pectoralis_major_lower,0.7,triceps|anterior_deltoid,0.2|0.1,core,4,1,6,5,5,free_weight_control
CHEST-007,Developpe-incline-barre,incline_push,sagittal,compound,false,pectoralis_major_upper,0.65,anterior_deltoid|triceps,0.25|0.1,core,4,1,5,3,3,upper_bias
CHEST-008,Developpe-incline-halteres-exercice-musculation,incline_push,sagittal,compound,false,pectoralis_major_upper,0.65,anterior_deltoid|triceps,0.25|0.1,core,4,1,6,5,5,free_weight_control
CHEST-009,Developpe-incline-machine-convergente-exercice-musculation,incline_push,sagittal,compound,false,pectoralis_major_upper,0.7,anterior_deltoid|triceps,0.2|0.1,core,3,1,4,2,2,machine_stability
CHEST-010,Developpe-incline-poulie,incline_push,sagittal,compound,false,pectoralis_major_upper,0.7,anterior_deltoid|triceps,0.2|0.1,core,3,1,4,3,3,cable_control
CHEST-011,Developpe-landmine-pectoraux,diagonal_push,sagittal,compound,false,pectoralis_major,0.6,anterior_deltoid|triceps,0.25|0.15,core,4,1,5,4,4,angled_load
CHEST-012,Developpe-machine-assis-pectoraux,horizontal_push,sagittal,compound,false,pectoralis_major,0.7,triceps|anterior_deltoid,0.2|0.1,core,2,1,3,2,2,machine_stability
CHEST-013,Dips-pectoraux,vertical_push,sagittal,compound,false,pectoralis_major_lower,0.7,triceps|anterior_deltoid,0.2|0.1,core,5,1,7,6,6,bodyweight_load
CHEST-014,Ecarte-a-la-poulie-vis-a-vis-haute-a-genoux,fly,sagittal,isolation,false,pectoralis_major,0.75,anterior_deltoid,0.25,scapula,3,1,4,5,5,cable_tension
CHEST-015,Ecarte-couche-haltere,fly,sagittal,isolation,false,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,4,1,5,4,4,free_weight_stretch
CHEST-016,Ecarte-poulie-vis-a-vis-exercice-musculation,fly,sagittal,isolation,false,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,3,1,4,5,5,cable_control
CHEST-017,Ecarte-poulie-vis-a-vis-exercice-musculation-pectoraux,fly,sagittal,isolation,false,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,3,1,4,5,5,cable_control
CHEST-018,Ecarte-unilateral-a-la-poulie,fly,sagittal,isolation,true,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,3,1,4,6,6,unilateral_cable
CHEST-019,Ecartes-decline-avec-halteres,fly,sagittal,isolation,false,pectoralis_major_lower,0.8,anterior_deltoid,0.2,scapula,4,1,5,4,4,decline_stretch
CHEST-020,Ecartes-incline-avec-halteres,fly,sagittal,isolation,false,pectoralis_major_upper,0.8,anterior_deltoid,0.2,scapula,4,1,5,4,4,incline_stretch
CHEST-021,Ecartes-poulie-vis-a-vis,fly,sagittal,isolation,false,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,3,1,4,5,5,cable_control
CHEST-022,Ecartes-unilateral-landmine-pectoraux,fly,transverse,isolation,true,pectoralis_major,0.7,anterior_deltoid|core,0.2|0.1,core,4,1,5,6,6,angled_unilateral
CHEST-023,Hex-press-a-la-smith-machine,horizontal_push,sagittal,compound,false,pectoralis_major,0.7,triceps|anterior_deltoid,0.2|0.1,core,3,1,4,2,2,close_grip
CHEST-024,Hyght-dumbell-fly,fly,sagittal,isolation,false,pectoralis_major,0.8,anterior_deltoid,0.2,scapula,4,1,5,4,4,free_weight_arc
CHEST-025,Pec-deck-butterfly-exercice-musculation,fly,sagittal,isolation,false,pectoralis_major,0.85,anterior_deltoid,0.15,scapula,2,1,3,2,2,machine_stability
CHEST-026,Pompe-musculation,horizontal_push,sagittal,compound,false,pectoralis_major,0.65,triceps|anterior_deltoid,0.2|0.15,core,5,1,6,7,7,bodyweight_instability
