exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
TRI-001,Barre-front,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,2,2,2,barbell_isolation
TRI-002,Developpe-couche-prise-serree-smith-machine,horizontal_push,sagittal,compound,false,triceps_brachii,0.6,pectoralis_major|anterior_deltoid,0.25|0.15,core,3,1,4,2,2,close_grip_machine
TRI-003,Dips-assis-machine-avec-poids,vertical_push,sagittal,compound,false,triceps_brachii,0.75,pectoralis_major|anterior_deltoid,0.15|0.1,core,2,1,3,2,2,seated_machine_load
TRI-004,Dips-assis-machine-matrix,vertical_push,sagittal,compound,false,triceps_brachii,0.75,pectoralis_major|anterior_deltoid,0.15|0.1,core,2,1,3,2,2,stable_machine
TRI-005,Dips-assiste-machine,vertical_push,sagittal,compound,false,triceps_brachii,0.7,pectoralis_major|anterior_deltoid,0.2|0.1,core,2,1,4,3,3,assisted_dip
TRI-006,Dips-aux-anneaux,vertical_push,sagittal,compound,false,triceps_brachii,0.65,pectoralis_major|shoulders,0.2|0.15,core,5,1,6,8,8,high_instability
TRI-007,Dips-entre-deux-bancs,vertical_push,sagittal,compound,false,triceps_brachii,0.7,pectoralis_major|anterior_deltoid,0.2|0.1,core,3,1,4,5,5,bodyweight_dip
TRI-008,Dips-pectoraux,vertical_push,sagittal,compound,false,pectoralis_major,0.7,triceps_brachii|anterior_deltoid,0.2|0.1,core,5,1,7,6,6,chest_bias
TRI-009,Dips-sur-banc,vertical_push,sagittal,compound,false,triceps_brachii,0.75,pectoralis_major|anterior_deltoid,0.15|0.1,core,2,1,3,4,4,bench_dip
TRI-010,Dips-sur-une-chaise,vertical_push,sagittal,compound,false,triceps_brachii,0.75,pectoralis_major|anterior_deltoid,0.15|0.1,core,2,1,3,4,4,bodyweight_bench
TRI-011,Extension-horizontale-poulie,elbow_extension,sagittal,isolation,false,triceps_brachii,0.8,anconeus,0.2,elbow,2,1,2,3,3,cable_horizontal
TRI-012,Extension-triceps-banc-incline-halteres,elbow_extension,sagittal,isolation,false,triceps_brachii,0.8,anconeus,0.2,elbow,3,1,3,4,4,incline_free_weight
TRI-013,Extension-triceps-derriere-tete-avec-elastique,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,3,5,5,overhead_elastic
TRI-014,Extension-triceps-haltere-un-bras,elbow_extension,sagittal,isolation,true,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,3,5,5,unilateral_dumbbell
TRI-015,Extension-triceps-incline-poulie-basse,elbow_extension,sagittal,isolation,false,triceps_brachii,0.8,anconeus,0.2,elbow,2,1,2,3,3,cable_incline
TRI-016,Extension-triceps-machine-technogym,elbow_extension,sagittal,isolation,false,triceps_brachii,0.9,anconeus,0.1,elbow,1,1,2,1,1,machine_isolation
TRI-017,Extension-triceps-poulie-haute,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,2,1,2,2,2,cable_pushdown
TRI-018,Extension-triceps-poulie-haute-corde,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,2,1,2,3,3,rope_pushdown
TRI-019,Extension-triceps-verticale-elastique,elbow_extension,sagittal,isolation,false,triceps_brachii,0.8,anconeus,0.2,elbow,2,1,2,4,4,elastic_resistance
TRI-020,Extension-verticale-assis-barre,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,3,2,2,seated_barbell
TRI-021,Extension-verticale-triceps-poulie-basse,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,2,1,2,2,2,cable_vertical
TRI-022,Extensions-concentres-des-triceps-poulie,elbow_extension,sagittal,isolation,false,triceps_brachii,0.9,anconeus,0.1,elbow,2,1,2,3,3,strict_cable
TRI-023,Extensions-des-triceps-assis-avec-haltere,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,3,4,4,seated_dumbbell
TRI-024,Extensions-des-triceps-avec-sangles-de-suspension,elbow_extension,sagittal,isolation,false,triceps_brachii,0.8,core|anconeus,0.1|0.1,core,3,1,3,8,8,suspension_instability
TRI-025,Extensions-triceps-couche-halteres,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,4,1,4,3,3,lying_dumbbell
TRI-026,Extensions-triceps-decline-halteres,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,4,1,4,3,3,decline_load
TRI-027,Extensions-triceps-incline-smith-machine,elbow_extension,sagittal,isolation,false,triceps_brachii,0.85,anconeus,0.15,elbow,3,1,3,2,2,guided_bar
