exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
CALF-001,Extension-des-mollets-donkey,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.7,soleus,0.3,ankle,3,2,1,4,4,loaded_bend
CALF-002,Extension-mollets-assis-barre,plantar_flexion,sagittal,isolation,false,soleus,0.85,gastrocnemius,0.15,ankle,2,2,1,2,2,seated_load
CALF-003,Extension-mollets-assis-machine,plantar_flexion,sagittal,isolation,false,soleus,0.9,gastrocnemius,0.1,ankle,1,1,1,1,1,machine_stability
CALF-004,Extension-mollets-assis-machine-smith,plantar_flexion,sagittal,isolation,false,soleus,0.85,gastrocnemius,0.15,ankle,2,2,1,2,2,guided_load
CALF-005,Extension-mollets-barre-debout,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.75,soleus,0.25,ankle,4,2,1,3,3,standing_load
CALF-006,Extension-mollets-debout-machine,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.8,soleus,0.2,ankle,3,2,1,2,2,machine_stability
CALF-007,Extension-mollets-presse-45,plantar_flexion,sagittal,isolation,false,soleus,0.7,gastrocnemius,0.3,ankle,3,4,1,2,2,press_angle
CALF-008,Extension-mollets-smith-machine,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.75,soleus,0.25,ankle,4,2,1,2,2,guided_load
CALF-009,Extension-mollets-sur-marche,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.8,soleus,0.2,ankle,4,3,1,5,5,unilateral_step
CALF-010,Extensions-des-mollets-avec-partenaire,plantar_flexion,sagittal,isolation,false,gastrocnemius,0.75,soleus,0.25,ankle,3,2,1,6,6,assisted_resistance
CALF-011,Extensions-mollets-hack-squat,plantar_flexion,sagittal,isolation,false,soleus,0.75,gastrocnemius,0.25,ankle,3,4,1,2,2,machine_loaded
